dataset,method,method_type,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,feature_dim_mean,feature_dim_std,feature_dim_ci95,encoding_s_mean,encoding_s_std,encoding_s_ci95,training_s_mean,training_s_std,training_s_ci95,total_s_mean,total_s_std,total_s_ci95,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_ci95,encoding_peak_mb_mean,encoding_peak_mb_std,encoding_peak_mb_ci95,training_peak_mb_mean,training_peak_mb_std,training_peak_mb_ci95
high_dim_parity,rff,baseline_sklearn,5,0.5007,0.00830361,0.01031013,0.4997996,0.00868296,0.01078115,40,0.0,0.0,0.0092022,0.00026512,0.00032919,0.0052418,0.00057834,0.00071809,0.014444,0.00080856,0.00100395,0.6379433,0.02069334,0.02569376,3.9230398,6.44e-05,7.996e-05,0.3025234,0.00019641,0.00024387
high_dim_parity,poly2,baseline_sklearn,5,0.4931,0.01568996,0.01948135,0.4930408,0.01567236,0.01945949,230,0.0,0.0,0.0605478,0.0239926,0.02979026,0.0663314,0.08341598,0.10357294,0.1268794,0.063178,0.07844458,0.60947624,0.35221072,0.43732026,31.3666972,5.915e-05,7.345e-05,0.3590284,8.621e-05,0.00010704
high_dim_parity,poly3,baseline_sklearn,5,0.4977,0.01041993,0.01293785,0.4975878,0.01038848,0.01289879,1770,0.0,0.0,0.229561,0.00560269,0.00695654,3.7818184,0.33503772,0.41599752,4.0113792,0.33266878,0.41305614,0.05755056,0.00499179,0.00619803,240.9544548,4.518e-05,5.61e-05,0.8160872,0.00196509,0.00243994
high_dim_parity,pca,baseline_sklearn,5,0.4895,0.00925338,0.0114894,0.488079,0.00927386,0.01151483,19,0.0,0.0,0.0018218,0.00020707,0.00025711,0.0371394,0.04567362,0.05671037,0.038961,0.04579139,0.05685659,0.19404336,0.15862434,0.19695493,1.5931768,0.00015928,0.00019777,0.2950932,0.00015858,0.00019689
high_dim_parity,rbf_svm,baseline_sklearn,5,0.4888,0.00841576,0.01044938,0.4887282,0.00838244,0.01040801,20,0.0,0.0,0.0,0.0,0.0,1.3825784,0.02156777,0.02677949,1.3825784,0.02156777,0.02677949,0.0,0.0,0.0,0.0,0.0,0.0,2.7474936,0.00108262,0.00134423
high_dim_parity,mlp,baseline_sklearn,5,0.4941,0.01928212,0.02394152,0.486736,0.01431881,0.01777886,20,0.0,0.0,0.0,0.0,0.0,5.7181398,1.19340554,1.48178462,5.7181398,1.19340554,1.48178462,0.0,0.0,0.0,0.0,0.0,0.0,7.970464,0.0100952,0.01253464
high_dim_parity,torch_mlp,baseline_torch,5,0.5189,0.01493904,0.01854897,0.5181962,0.0153138,0.01901428,20,0.0,0.0,,,,,,,1.6982588,0.04894618,0.06077373,,,,,,,19.898368,0.0,0.0
high_rank_noise,amplitude,qie_sklearn,5,0.795,0.01430035,0.01775594,0.794937,0.01432538,0.01778701,256,0.0,0.0,0.0391314,0.02749865,0.03414352,0.2255684,0.11855625,0.14720464,0.2646998,0.14087507,0.17491666,0.15193698,0.04911502,0.06098337,21.026552,0.0,0.0,0.2495326,0.00016272,0.00020204
high_rank_noise,angle,qie_sklearn,5,0.78,0.01674813,0.02079522,0.7799522,0.0167657,0.02081703,400,0.0,0.0,0.214309,0.06353047,0.07888222,0.4414096,0.19365578,0.24045151,0.6557186,0.21661262,0.26895572,0.33930764,0.10563523,0.13116133,44.805776,0.0,0.0,0.2835982,0.00052251,0.00064877
high_rank_noise,basis,qie_sklearn,5,0.699,0.01461164,0.01814245,0.6986942,0.01446189,0.01795651,1600,0.0,0.0,0.1842028,0.07953248,0.09875101,2.0243384,0.8123655,1.00866861,2.2085412,0.80932813,1.00489728,0.09257025,0.04591196,0.0570063,67.206514,0.0,0.0,51.8539372,0.00278142,0.00345353
high_rank_noise,amplitude_torch,qie_torch,5,0.798,0.01504992,0.01868664,0.7979424,0.01507016,0.01871177,256,0.0,0.0,,,,,,,11.4420374,9.09712326,11.29538694,,,,,,,0.0938686,0.00034626,0.00042993
high_rank_noise,angle_torch,qie_torch,5,0.7906,0.01837934,0.02282059,0.7904216,0.01853913,0.023019,400,0.0,0.0,,,,,,,6.11828,2.90326709,3.60482366,,,,,,,0.0261754,0.00050722,0.00062979
high_rank_noise,basis_torch,qie_torch,5,0.7066,0.01684636,0.02091718,0.7062416,0.01671163,0.02074989,1600,0.0,0.0,,,,,,,8.5270082,6.21775762,7.72024037,,,,,,,0.010844,0.00021678,0.00026916
high_rank_noise,raw_linear,baseline_sklearn,5,0.7908,0.01569076,0.01948234,0.790737,0.01570635,0.0195017,200,0.0,0.0,0.0254988,0.00492931,0.00612045,0.0685538,0.01123699,0.01395235,0.0940522,0.01067363,0.01325285,0.27311798,0.05265667,0.06538083,8.073482,7.637e-05,9.482e-05,0.2193412,0.00033087,0.00041082
high_rank_noise,rff,baseline_sklearn,5,0.696,0.01919635,0.02383503,0.6959346,0.01917227,0.02380513,400,0.0,0.0,0.456875,0.17886723,0.22208939,0.4683032,0.21522527,0.26723313,0.9251782,0.37499753,0.46561337,0.49924624,0.07616908,0.09457487,19.9201444,0.00014182,0.00017609,0.276595,0.00026643,0.00033081
high_rank_noise,poly2,baseline_sklearn,5,0.6486,0.01409965,0.01750674,0.6481718,0.01421278,0.01764722,20300,0.0,0.0,55.2878288,69.57987108,86.39341737,2.9810096,1.62838692,2.02187657,58.2688386,71.20433576,88.41042392,0.92516681,0.02470377,0.03067329,1383.0085776,0.00011797,0.00014647,6.7840744,0.00015481,0.00019222
high_rank_noise,pca,baseline_sklearn,5,0.7918,0.0160686,0.01995148,0.7917418,0.01607491,0.01995931,199,0.0,0.0,0.923143,1.24857776,1.55028887,0.7745362,1.23978552,1.53937203,1.697679,2.48179382,3.08150397,0.57773659,0.16433659,0.20404752,8.355698,7.637e-05,9.482e-05,0.2166712,0.00011074,0.0001375
